chromosome,gene_id,gene_name,start_bp,end_bp,strand,essential_status,feature_type,source_file,source_sheet
chrII,S000000201,PKC1,14241,17696,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000205,NTH2,238941,241283,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000206,RER2,241708,242568,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000207,COQ1,242809,244230,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002585,SDH4,817950,818495,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000208,GPI18,244366,245667,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000209,RCR1,245906,246547,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000028793,YIL071W-A,228550,229026,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003411,OKP1,853675,854895,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003412,RNR4,855264,856301,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003413,TIM13,858287,858604,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003414,YGR182C,858551,858904,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003415,QCR9,859063,859476,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003415,S000003415,859261,859473,-,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003416,UBR1,859901,865753,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002586,CSN9,818708,819196,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003417,TYS1,866336,867520,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000001414,VPR1,56545,57252,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003418,TFG1,867774,869981,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003419,HGH1,870232,871416,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003420,BUB1,872044,875109,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003421,CRH1,876669,878192,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003422,YGR190C,880296,880661,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003424,TDH3,882812,883810,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003425,PDX1,884509,885741,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003426,XKS1,886073,887875,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003427,SKI6,888882,889622,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003428,FYV8,889733,892186,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003429,SNG1,892497,894140,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002612,COQ4,858137,859144,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003430,YPP1,894693,897146,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003431,PMT6,897502,899781,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003432,ELP2,899904,902270,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003433,YGR201C,902520,903197,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003434,PCT1,903474,904748,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003435,YCH1,905237,905683,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002593,UPS3,831934,832473,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003436,ADE3,905934,908774,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003437,TDA10,909213,910085,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003438,MVB12,910432,910737,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003439,CIR1,910843,911628,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003440,SER2,911883,912812,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003441,TRX2,912913,913227,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002583,NGG1,814452,816560,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002584,UBC1,816878,817525,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002587,NVJ3,819433,820824,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002588,SCC2,821295,825776,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002589,SAS4,825910,827355,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002590,CDC1,827582,829057,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002591,PLP1,829585,830277,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002592,ATC1,830629,831513,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000028512,PCC1,625864,626205,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000028512,S000028512,625902,625976,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002596,CCT6,836421,838061,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002597,SLY1,838392,840392,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002598,RVB1,840604,841995,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002619,GCD6,884727,886865,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002599,HST4,842337,843449,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000028794,YIL100C-A,177343,177681,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002600,NUP42,843569,844861,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002601,YDR193W,844554,844952,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002602,MSS116,845952,847946,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002603,REF2,848599,850200,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002604,CAB5,850274,850999,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVIII,S000028652,YHR213W-B,540800,541099,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002613,MSC2,859346,861520,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002605,CBS2,851228,852397,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002606,RKM2,852533,853972,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002607,YDR199W,854175,854540,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002608,VPS64,854279,856093,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002609,SPC19,856317,856814,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002610,RAV2,856898,857953,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002611,YDR203W,857682,857999,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028513,LLP1,637790,638168,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrX,S000028513,S000028513,637810,637858,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002614,EBS1,862054,864708,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002615,UME6,865012,867522,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002616,MSS4,868224,870563,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002617,YDR209C,871036,871449,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002618,CPP2,871074,871301,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002620,TCP1,887232,888911,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000028795,YIL115W-A,144268,144639,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002621,UPC2,889751,892492,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002622,AHA1,892875,893927,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002623,YDR215C,894089,894502,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002624,ADR1,895035,899006,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000028514,CMC4,652594,652887,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXIII,S000028514,S000028514,652776,652847,-,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002625,RAD9,899551,903480,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002626,SPR28,903781,905052,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002627,MFB1,905455,906852,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002628,YDR220C,907000,907293,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002629,GTB1,907330,909438,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002769,BCP1,1195412,1196263,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002762,TRP4,1184747,1185889,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002763,YDR355C,1186067,1186369,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002764,SPC110,1186107,1188941,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002765,CNL1,1189199,1189567,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002766,GGA1,1190059,1191732,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002767,EAF1,1191936,1194884,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002768,OPI7,1194598,1195032,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002770,TFC6,1196679,1198697,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000028797,YIL156W-A,47292,47693,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002771,ESC2,1199183,1200553,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002772,CDC40,1202843,1204210,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002773,ESF1,1204497,1206383,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002775,KEI1,1212848,1213614,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002775,S000002775,1212878,1212978,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003310,PAC10,639772,640371,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002776,YPR1,1213904,1214842,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000118396,ARS912,175038,175358,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000118396,S000118396,175170,175186,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002777,XRS2,1215016,1217580,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002778,DXO1,1217782,1219110,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002779,CTS2,1219413,1220948,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002780,VPS74,1221112,1222149,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002781,FRQ1,1222759,1223331,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002782,PHO92,1223474,1224394,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002783,BCS1,1225166,1226536,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002784,ARH1,1226822,1228303,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002785,ATP17,1228611,1228916,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002786,LSM6,1229349,1229609,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002787,RGA2,1230167,1233196,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000613,PET18,154012,154659,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002788,ARO10,1234218,1236125,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002789,YRA1,1236558,1238004,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002789,S000002789,1236843,1237608,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002790,RPP2B,1239492,1239824,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002791,NKP1,1239960,1240676,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002792,ATO3,1241204,1242031,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002793,EFT2,1243230,1245758,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002794,MUS81,1246084,1247982,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000615,HSP30,156109,157107,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002795,CIN10,1248154,1249821,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002796,RVS167,1250186,1251634,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002797,SAC7,1252537,1254501,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002798,UBA2,1254937,1256847,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002799,IAT4,1257358,1258056,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002800,SPT3,1258696,1259709,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002801,SHE9,1259901,1261271,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003299,YGR067C,622372,624786,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003300,ART5,625324,627084,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003301,YGR069W,627083,627418,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003302,ROM1,627806,631273,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000614,MAK31,154830,155096,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003303,ENV11,631481,634063,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003304,UPF3,634304,635467,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003305,YGR073C,635615,635986,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003306,SMD1,635712,636152,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003307,PRP38,636147,636875,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003308,MRPL25,637104,637577,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003309,PEX8,637744,639513,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000210,UGA2,247010,248503,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000211,DSF2,248806,251016,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000212,FLR1,252563,254209,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000213,HHF1,255373,255684,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrII,S000000214,HHT1,256331,256741,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000612,MAK32,152837,153928,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000028515,YPR170W-B,883239,883595,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXVI,S000028515,S000028515,883388,883486,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000617,YCR023C,158538,160373,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000618,SLM5,160744,162222,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000619,PMP1,162945,163067,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000620,YCR025C,163446,163856,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000621,NPP1,164111,166339,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000622,RHB1,167370,167999,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000623,FEN2,170886,172424,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000626,SYP1,173826,176438,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000627,RPS14A,177500,178220,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000627,S000000627,177907,178213,-,Ambiguous,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000628,BPH1,179520,186023,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000629,SNT1,186489,190169,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000630,ELO2,190592,191635,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXV,S000028516,YOR072W-B,464469,464630,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000631,RRP43,191834,193018,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000118399,ARS920,357160,357396,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000118399,S000118399,357222,357238,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000632,RBK1,193297,194298,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000633,PHO87,194414,197185,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000634,BUD5,197621,199549,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000635,MATALPHA2,199546,200178,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000636,MATALPHA1,200442,200969,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000637,YCR041W,200911,201243,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000000638,TAF2,201174,205397,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002347,PPH22,123865,124998,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002348,RBS1,122216,123589,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002348,S000002348,122078,122176,+,Unknown,five_prime_UTR_intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002349,UFD2,118707,121592,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrV,S000000976,GRX4,538434,539168,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002350,RPL35A,117664,118517,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002350,S000002350,117667,118157,+,Unknown,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002351,ARF1,116321,116866,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000118401,ARS1103,55671,55917,+,Unknown,ARS,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrXI,S000118401,S000118401,55851,55867,+,Unknown,ARS_consensus_sequence,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002352,NUS1,114672,115799,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002353,SNF3,111580,114234,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002354,SEC31,107208,111029,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002355,YDL196W,106741,107070,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000028518,ADF1,23584,23925,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002356,ASF2,104917,106494,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002630,YDR222W,910054,911301,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002631,CRF1,912099,913502,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002632,HTB1,914317,914712,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002633,HTA1,915530,915928,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002634,ADK1,916486,917154,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIII,S000028519,EGO2,248975,249202,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002635,SIR4,917571,921647,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002636,PCF11,921926,923806,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002637,IVY1,924785,926146,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002638,YDR230W,926223,926570,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002639,COX20,926293,926910,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002640,HEM1,927452,929098,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002641,RTN1,929470,930357,-,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIX,S000028798,YIL171W-A,18260,18712,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002642,LYS4,931129,933210,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrIV,S000002643,PRP42,933504,935138,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003062,PAN2,331118,334465,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003063,VPS45,328874,330607,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003064,TOS8,325331,326161,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003065,SRM1,321782,323230,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003066,USE1,317342,318079,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003067,LSG1,314631,316553,+,Ambiguous,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003068,SEH1,313234,314283,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003070,YGL102C,311505,311933,-,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003071,RPL28,310967,311927,+,Essential,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003071,S000003071,311016,311526,+,Essential,intron,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003384,RSR1,794674,795492,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003072,VPS73,308713,310173,-,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
chrVII,S000003073,ARC1,307437,308567,+,Unknown,ORF,./data\raw\sgd\SGD_features.tab,SGD_features.tab
